"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH-1",".0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
705113.002,3621735.726,75.508,51.68,2,8,1.5,31:58.5,11/29/2018
705113.009,3621735.726,75.469,52.148,2,8,1.5,31:58.7,11/29/2018
705113.017,3621735.726,75.156,52.891,2,8,1.5,31:58.9,11/29/2018
705113.026,3621735.726,75.781,52.773,2,8,1.5,31:59.1,11/29/2018
705113.035,3621735.726,75.938,52.891,2,8,1.5,31:59.3,11/29/2018
705113.043,3621735.726,75.508,52.227,2,8,1.5,31:59.4,11/29/2018
705113.02,3621735.652,74.961,51.836,2,8,1.5,31:59.6,11/29/2018
705112.988,3621735.554,75.547,52.422,2,8,1.5,31:59.8,11/29/2018
705112.956,3621735.457,75.234,52.383,2,8,1.5,32:00.0,11/29/2018
705112.934,3621735.389,75.078,52.93,2,8,1.5,32:00.2,11/29/2018
705112.907,3621735.305,75.312,53.867,2,8,1.5,32:00.4,11/29/2018
705112.85,3621735.139,76.406,55.547,2,8,1.5,32:00.6,11/29/2018
705112.762,3621734.882,76.797,55.273,2,8,1.5,32:00.8,11/29/2018
705112.68,3621734.645,77.383,55.977,2,8,1.5,32:01.0,11/29/2018
705112.623,3621734.478,76.758,53.828,2,8,1.5,32:01.1,11/29/2018
705112.524,3621734.191,76.953,53.672,2,8,1.5,32:01.4,11/29/2018
705112.459,3621733.953,76.875,53.828,2,8,1.5,32:01.6,11/29/2018
705112.408,3621733.725,75.977,54.414,2,8,1.5,32:01.7,11/29/2018
705112.33,3621733.381,76.523,55.43,2,8,1.5,32:01.9,11/29/2018
705112.263,3621733.085,77.109,56.562,2,8,1.5,32:02.1,11/29/2018
705112.213,3621732.867,78.242,58.047,2,8,1.5,32:02.3,11/29/2018
705112.151,3621732.588,80.078,59.18,2,8,1.5,32:02.5,11/29/2018
705112.102,3621732.233,81.562,60.664,2,8,1.5,32:02.7,11/29/2018
705112.065,3621731.96,83.047,60.625,2,8,1.5,32:02.8,11/29/2018
705112.016,3621731.596,84.414,60.234,2,8,1.5,32:03.1,11/29/2018
705111.978,3621731.318,85.273,60.938,2,8,1.5,32:03.2,11/29/2018
705111.936,3621731.008,87.109,63.125,2,8,1.5,32:03.4,11/29/2018
705111.887,3621730.57,88.672,64.414,2,8,1.5,32:03.7,11/29/2018
705111.862,3621730.327,88.086,64.141,2,8,1.5,32:03.8,11/29/2018
705111.817,3621729.9,87.344,63.672,2,8,1.5,32:04.0,11/29/2018
