"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CH","-1.0m, CH-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
704673.267,3620784.273,83.906,55.195,2,9,0.9,36:54.0,11/29/2018
704673.314,3620784.248,83.008,54.844,2,9,0.9,36:54.2,11/29/2018
704673.374,3620784.216,83.281,55.312,2,9,0.9,36:54.4,11/29/2018
704673.439,3620784.182,83.242,55.547,2,9,0.9,36:54.6,11/29/2018
704673.489,3620784.155,83.555,55.312,2,9,0.9,36:54.8,11/29/2018
704673.546,3620784.126,83.75,55.312,2,9,0.9,36:55.0,11/29/2018
704673.548,3620784.114,83.203,55.82,2,9,0.9,36:55.1,11/29/2018
704673.523,3620784.109,83.008,57.148,2,9,0.9,36:55.3,11/29/2018
704673.502,3620784.104,83.633,56.055,2,9,0.9,36:55.5,11/29/2018
704673.477,3620784.099,83.633,55.508,2,9,0.9,36:55.7,11/29/2018
704673.453,3620784.094,83.906,56.055,2,9,0.9,36:55.9,11/29/2018
704673.433,3620784.095,84.023,55.703,2,9,0.9,36:56.1,11/29/2018
704673.423,3620784.104,83.984,54.609,2,9,0.9,36:56.3,11/29/2018
704673.41,3620784.114,84.18,54.297,2,9,0.9,36:56.5,11/29/2018
704673.399,3620784.123,84.375,54.141,2,9,0.9,36:56.7,11/29/2018
704673.385,3620784.134,85.078,54.961,2,9,0.9,36:56.9,11/29/2018
704673.375,3620784.144,84.336,55.312,2,9,0.9,36:57.1,11/29/2018
704673.373,3620784.148,83.906,55.781,2,9,0.9,36:57.2,11/29/2018
704673.37,3620784.155,83.438,55.938,2,9,0.9,36:57.4,11/29/2018
704673.366,3620784.16,83.594,55.742,2,9,0.9,36:57.6,11/29/2018
704673.364,3620784.165,83.477,55.312,2,9,0.9,36:57.8,11/29/2018
704673.361,3620784.171,84.062,54.102,2,9,0.9,36:58.0,11/29/2018
704673.36,3620784.173,83.789,54.766,2,9,0.9,36:58.2,11/29/2018
704673.359,3620784.174,83.516,55.039,2,9,0.9,36:58.4,11/29/2018
704673.358,3620784.175,83.555,54.531,2,9,0.9,36:58.6,11/29/2018
704673.358,3620784.177,83.398,53.984,2,9,0.9,36:58.8,11/29/2018
704673.357,3620784.178,83.672,54.336,2,9,0.9,36:58.9,11/29/2018
704673.357,3620784.179,83.125,54.727,2,9,0.9,36:59.1,11/29/2018
