"//UTM zone 36,",Datum: WGS84,,,,,,,
"//Easting[m],","Northing[m], CV-1",".0m, CV-0.5m,","Quality,",S,"at,",HDO,"P, Time, Date",
704640.284,3621267.751,69.57,50.977,2,8,1.2,44:44.1,12/03/2018
704640.284,3621267.751,69.766,50.82,2,8,1.2,44:44.4,12/03/2018
//Comment: x c,ontinued    11:44,:53.516,,,,,,
704640.305,3621267.744,69.805,51.289,2,8,1.2,44:54.7,12/03/2018
704640.305,3621267.744,69.648,51.211,2,8,1.2,44:54.9,12/03/2018
704640.305,3621267.744,70.078,51.484,2,8,1.2,44:55.1,12/03/2018
704640.306,3621267.744,69.609,51.289,2,8,1.2,44:55.3,12/03/2018
704640.306,3621267.745,70.117,51.133,2,8,1.2,44:55.5,12/03/2018
704640.306,3621267.745,70.156,50.898,2,8,1.2,44:55.7,12/03/2018
704640.307,3621267.746,70.117,51.094,2,8,1.2,44:55.9,12/03/2018
704640.307,3621267.745,70.039,50.82,2,8,1.2,44:56.1,12/03/2018
704640.307,3621267.743,70.508,50.742,2,8,1.2,44:56.3,12/03/2018
704640.307,3621267.741,70,50.781,2,8,1.2,44:56.5,12/03/2018
704640.308,3621267.739,70.312,50.859,2,8,1.2,44:56.7,12/03/2018
704640.308,3621267.738,70.391,50.82,2,8,1.2,44:56.8,12/03/2018
704640.308,3621267.736,70.742,50.742,2,8,1.2,44:57.0,12/03/2018
704640.307,3621267.735,70.352,50.781,2,8,1.2,44:57.2,12/03/2018
704640.305,3621267.734,70.312,51.133,2,8,1.2,44:57.4,12/03/2018
704640.303,3621267.733,70.234,50.938,2,8,1.2,44:57.6,12/03/2018
704640.302,3621267.733,69.57,50.625,2,8,1.2,44:57.8,12/03/2018
704640.301,3621267.732,69.766,51.055,2,8,1.2,44:58.0,12/03/2018
704640.282,3621267.698,69.805,51.055,2,8,1.2,44:58.2,12/03/2018
704640.265,3621267.666,70.156,51.289,2,8,1.2,44:58.4,12/03/2018
704640.247,3621267.633,70,51.172,2,8,1.2,44:58.5,12/03/2018
704640.227,3621267.596,70.273,51.172,2,8,1.2,44:58.7,12/03/2018
704640.21,3621267.565,70.508,51.172,2,8,1.2,44:58.9,12/03/2018
704640.109,3621267.457,70.469,51.406,2,8,1.2,44:59.1,12/03/2018
704640.005,3621267.351,69.961,51.172,2,8,1.2,44:59.3,12/03/2018
704639.863,3621267.209,69.727,51.016,2,8,1.2,44:59.5,12/03/2018
704639.749,3621267.094,69.102,50.898,2,8,1.2,44:59.7,12/03/2018
704639.612,3621266.955,69.805,50.43,2,8,1.2,44:59.9,12/03/2018
704639.517,3621266.828,70.312,50.234,2,8,1.2,45:00.1,12/03/2018
704639.442,3621266.677,71.055,49.883,2,8,1.2,45:00.2,12/03/2018
704639.351,3621266.491,71.914,49.766,2,8,1.2,45:00.5,12/03/2018
704639.293,3621266.374,72.383,49.688,2,8,1.2,45:00.6,12/03/2018
